id,label
1667,TLM
1668,BSK
1669,TOE
1670,DZA
1671,ESU
1672,OZZ
1673,AGF
1674,PGX
1675,DCM
1676,LPY
1677,AUR
1678,LRT
1679,LAI
1680,UIP
1681,CAY
1682,BHJ
1683,BHU
1684,HBX
1685,JGA
1686,RAJ
1687,GWL
1688,BFN
1689,ELS
1690,ELL
1691,GRJ
1692,HDS
1693,KIM
1694,MQP
1695,HLA
1696,MGH
1697,PLZ
1698,PBZ
1699,PHW
1700,PZB
1701,PTG
1702,RCB
1703,UTN
1704,UTT
1705,FRW
1706,BBK
1707,MUB
1708,GBE
1709,MTS
1710,LVI
1711,NLA
1712,BEW
1713,INH
1714,MPM
1715,APL
1716,POL
1717,TET
1718,VNX
1719,BUQ
1720,VFA
1721,BLZ
1722,LLW
1723,MSU
1724,WVB
1725,FBM
1726,ZNZ
1727,GAF
1728,GAE
1729,LGG
1730,OST
1731,SCN
1732,LBC
1733,ZQW
1734,KSF
1735,DSA
1736,MST
1737,GRQ
1738,TMS
1739,SRX
1740,TOB
1741,BEN
1742,LAQ
1743,ILD
1744,DLE
1745,AXD
1746,JIK
1747,IOA
1748,KSO
1749,KZS
1750,JKL
1751,KZI
1752,LRS
1753,LXS
1754,MLO
1755,JNX
1756,PAS
1757,JTY
1758,JSI
1759,JSY
1760,JSH
1761,SKU
1762,SMA
1763,HOR
1764,TER
1765,PIX
1766,PXO
1767,MRA
1768,ATT
1769,KOZ
1770,CHU
1771,KLL
1772,WTL
1773,RNA
1774,ATD
1775,BNY
1776,CHY
1777,FRE
1778,IRA
1779,SCZ
1780,MUA
1781,GZO
1782,RNL
1783,EGM
1784,NNB
1785,RUS
1786,VAO
1787,KGE
1788,RBV
1789,BUA
1790,CMU
1791,DAU
1792,GKA
1793,GUR
1794,PNP
1795,HKN
1796,UNG
1797,KVG
1798,LNV
1799,MAG
1800,HGU
1801,MDU
1802,MAS
1803,MXH
1804,LAE
1805,TIZ
1806,TBG
1807,RAB
1808,VAI
1809,WBM
1810,WWK
1811,GOH
1812,SFJ
1813,RBQ
1814,BUL
1815,BCV
